Variable,Value,Target,Err,x50,x30
CarbonDeep,3489.27923965454,3213.0190000807,0.0859815144469741,X,X
CarbonShallow,2018.02668786049,3562.6460000239,0.433559582443232,X,
CarbonMineralSum,25394.182346344,23913.2799990511,0.061928031091998,X,X
OrganicNitrogenSum,2040.85084114166,2121.3805664286,0.0379609988708999,X,X
AvailableNitrogenSum,0.714543275091273,0.5276505,0.354198044143374,X,
GPPAll3,254.460947751999,398.1823332813,0.360943651982087,X,
NPPAll3,147.233980178833,199.0911666327,0.260469549357443,X,X
VEGCL3,79.31778271993,139.0332932452,0.429505114432953,X,
VEGCW3,0,0,NA,NA,NA
VEGCR3,230.177235921224,242.5761381376,0.051113445500327,X,X
VEGCSUM3,309.495018641154,381.6094314086,0.188974398513309,X,X
VEGNL3,3.96588180462519,5.4966211088,0.278487324098821,X,X
VEGNW3,0,0,NA,NA,NA
VEGNR3,11.5088616212209,5.1068660663,1.25360553259217,,
VEGNSUM3,15.4747434258461,10.6034871751,0.459401343190682,X,
VEGLBLN3,5.49425958096981,2.1206974351,1.59077956620942,,
GPPAll4,179.843928337097,214.295,0.160764701289824,X,X
NPPAll4,86.7505197525024,107.1477103019,0.190365155652196,X,X
VEGCL4,41.7916129430135,23.7903749996,0.756660537873664,,
VEGCW4,0,0,NA,NA,NA
VEGCR4,133.744571685791,153.2339717133,0.127187201438422,X,X
VEGCSUM4,175.536184628805,177.0243467192,0.00840653908897654,X,X
VEGNL4,1.63503973682721,1.710828822,0.0442996307977713,X,X
VEGNW4,0,0,NA,NA,NA
VEGNR4,5.23257386684418,3.225978352,0.622011463158193,,
VEGNSUM4,6.86761360367139,4.936807174,0.391104282913884,X,
VEGLBLN4,1.3370198259751,0.9873614347,0.354134138712173,X,
GPPAll5,10.3770170211792,12,0.1352485815684,X,X
NPPAll5,5.08648252487183,6,0.152252912521362,X,X
VEGCL5,12.2661007245382,12.8297500006,0.0439329898116075,X,X
VEGCW5,0,0,NA,NA,NA
VEGCR5,0,0,NA,NA,NA
VEGCSUM5,12.2661007245382,12.8297500006,0.0439329898116075,X,X
VEGNL5,0.253484234213829,0.3522029585,0.280289310193773,X,X
VEGNW5,0,0,NA,NA,NA
VEGNR5,0,0,NA,NA,NA
VEGNSUM5,0.253484234213829,0.3522029585,0.280289310193773,X,X
VEGLBLN5,0.0632817245398958,0.0704405917,0.101629855561025,X,X
GPPAll6,18.3367993831634,34.1619999995,0.463239875199583,X,
NPPAll6,9.08489540219307,17.0810000008,0.468128598924678,X,
VEGCL6,26.3952101071676,43.9335432517,0.399201426665121,X,
VEGCW6,0,0,NA,NA,NA
VEGCR6,0,0,NA,NA,NA
VEGCSUM6,26.3952101071676,43.9335432517,0.399201426665121,X,
VEGNL6,0.528538589676221,1.6155263072,0.672838141155204,,
VEGNW6,0,0,NA,NA,NA
VEGNR6,0,0,NA,NA,NA
VEGNSUM6,0.528538589676221,1.6155263072,0.672838141155204,,
VEGLBLN6,0.173329561327895,0.3231052615,0.463550792942149,X,
