Variable,Value
CarbonDeep,8.0749662726
CarbonShallow,8.1782588062
CarbonMineralSum,10.0821892321
OrganicNitrogenSum,7.6598223663
AvailableNitrogenSum,-0.6393211463
GPPAll3,5.9869100242
NPPAll3,5.2937628436
VEGCL3,4.9347134242
VEGCW3,0
VEGCR3,5.4913156328
VEGCSUM3,5.9443976547
VEGNL3,1.7041335596
VEGNW3,0
VEGNR3,1.6305859218
VEGNSUM3,2.3611829258
VEGLBLN3,0.7517450134
GPPAll4,3.5311139152
NPPAll4,4.6742083526
VEGCL4,3.1692810871
VEGCW4,0
VEGCR4,5.0319659802
VEGCSUM4,5.1762872752
VEGNL4,0.5369779443
VEGNW4,0
VEGNR4,1.1712362692
VEGNSUM4,1.5967188012
VEGLBLN4,-0.0127191113
GPPAll5,3.2449138734
NPPAll5,2.5517666929
VEGCL5,2.5517666929
VEGCW5,0
VEGCR5,0
VEGCSUM5,2.5517666929
VEGNL5,-1.0435476829
VEGNW5,0
VEGNR5,0
VEGNSUM5,-1.0435476829
VEGLBLN5,-2.6529855953
GPPAll6,3.5311139152
NPPAll6,2.8379667347
VEGCL6,3.7826781115
VEGCW6,0
VEGCR6,0
VEGCSUM6,3.7826781115
VEGNL6,0.4796607904
VEGNW6,0
VEGNR6,0
VEGNSUM6,0.4796607904
VEGLBLN6,-1.129777122
