Variable,Value
CarbonDeep,8.78715690596569
CarbonShallow,8.94277281902066
CarbonMineralSum,9.15094232583214
OrganicNitrogenSum,6.12666310485248
AvailableNitrogenSum,0.0706754205746076
GPPAll3,1.52215666538543
NPPAll3,0.632722348454665
VEGCL3,0.781481039495248
VEGCW3,2.05593757283347
VEGCR3,2.05593757283347
VEGCSUM3,2.879930047707
VEGNL3,-100.02083336541
VEGNW3,-1.49051378344112
VEGNR3,-2.17424792342599
VEGNSUM3,-1.08190113983172
VEGLBLN3,-2.72977506577386
GPPAll4,0
NPPAll4,0
VEGCL4,0
VEGCW4,0
VEGCR4,0
VEGCSUM4,0
VEGNL4,0
VEGNW4,0
VEGNR4,0
VEGNSUM4,0
VEGLBLN4,0
GPPAll5,0
NPPAll5,0
VEGCL5,0
VEGCW5,0
VEGCR5,0
VEGCSUM5,0
VEGNL5,0
VEGNW5,0
VEGNR5,0
VEGNSUM5,0
VEGLBLN5,0
GPPAll6,0
NPPAll6,0
VEGCL6,0
VEGCW6,0
VEGCR6,0
VEGCSUM6,0
VEGNL6,0
VEGNW6,0
VEGNR6,0
VEGNSUM6,0
VEGLBLN6,0
