Variable,Value
CarbonDeep,9.90001787515269
CarbonShallow,9.22610647705179
CarbonMineralSum,10.082652414186
OrganicNitrogenSum,7.50688038467938
AvailableNitrogenSum,-2.39281073646341
GPPAll3,3.80871079828097
NPPAll3,3.27882684052585
VEGCL3,2.59390212059876
VEGCW3,0
VEGCR3,2.59390212059876
VEGCSUM3,3.28704930115871
VEGNL3,-0.509787383936342
VEGNW3,0
VEGNR3,-0.509787383936342
VEGNSUM3,0.183359796623603
VEGLBLN3,-1.25932291898454
GPPAll4,2.98878922973866
NPPAll4,2.38349545117683
VEGCL4,1.67373917149046
VEGCW4,0
VEGCR4,2.14722162288055
VEGCSUM4,2.63139286197476
VEGNL4,-1.56728958126209
VEGNW4,0
VEGNR4,-1.12765640487878
VEGNSUM4,-0.630358238675676
VEGLBLN4,-2.01862927166199
GPPAll5,3.76437417685674
NPPAll5,2.2552155877402
VEGCL5,4.48071863476672
VEGCW5,0
VEGCR5,0
VEGCSUM5,4.48071863476672
VEGNL5,0.358921208070753
VEGNW5,0
VEGNR5,0
VEGNSUM5,0.358921208070753
VEGLBLN5,-1.17691668327203
GPPAll6,3.55209117011831
NPPAll6,2.48473759672675
VEGCL6,4.509448645723
VEGCW6,0
VEGCR6,0
VEGCSUM6,4.509448645723
VEGNL6,0.309993523782172
VEGNW6,0
VEGNR6,0
VEGNSUM6,0.309993523782172
VEGLBLN6,-1.18973821778503
