Variable,Value
CarbonDeep,7600.4190864563
CarbonShallow,50559.6252907117
CarbonMineralSum,41178.4383440018
OrganicNitrogenSum,4549.35842132568
AvailableNitrogenSum,3.17495254946425
GPPAll3,291.554029822349
NPPAll3,159.806253552437
VEGCL3,87.5837332407634
VEGCW3,0
VEGCR3,273.327120463053
VEGCSUM3,360.910853703817
VEGNL3,4.37856018543243
VEGNW3,0
VEGNR3,13.666354338328
VEGNSUM3,18.0449145237605
VEGLBLN3,6.96158381303152
GPPAll4,68.927615404129
NPPAll4,30.3684644699097
VEGCL4,16.5438812573751
VEGCW4,0
VEGCR4,80.481679280599
VEGCSUM4,97.025560537974
VEGNL4,0.647256650030613
VEGNW4,0
VEGNR4,3.148734887441
VEGNSUM4,3.79599153747161
VEGLBLN4,0.908370430270831
GPPAll5,3.8452810049057
NPPAll5,0.485373310744762
VEGCL5,11.5077393849691
VEGCW5,0
VEGCR5,0
VEGCSUM5,11.5077393849691
VEGNL5,0.186601972828309
VEGNW5,0
VEGNR5,0
VEGNSUM5,0.186601972828309
VEGLBLN5,0.0380069312329094
GPPAll6,27.5517284870148
NPPAll6,13.8645577430725
VEGCL6,26.1445247332255
VEGCW6,0
VEGCR6,0
VEGCSUM6,26.1445247332255
VEGNL6,0.392265968024731
VEGNW6,0
VEGNR6,0
VEGNSUM6,0.392265968024731
VEGLBLN6,0.14745625294745
