Variable,Value
GPPAll0,110.7451347285
NPPAll0,55.3725673643
VEGCL0,50.90577375
VEGCW0,87.334353575
VEGCR0,40.0896369243
VEGCSUM0,178.3297642493
VEGNL0,2.1151769691
VEGNW0,1.3782680325
VEGNR0,0.8439923563
VEGNSUM0,4.3374373579
VEGLBLN0,0.9190853995
GPPAll1,33.855625
NPPAll1,16.9278125
VEGCL1,23.0529375
VEGCW1,26.032375
VEGCR1,12.271328125
VEGCSUM1,61.356640625
VEGNL1,0.7613496828
VEGNW1,0.4853331099
VEGNR1,0.2530170747
VEGNSUM1,1.4996998674
VEGLBLN1,0.2559307921
GPPAll2,170.9193336
NPPAll2,85.4596668
VEGCL2,35.94296975
VEGCW2,1000.191825
VEGCR2,207.22695895
VEGCSUM2,1243.3617537
VEGNL2,1.1050996952
VEGNW2,15.7845379545
VEGNR2,4.1864032111
VEGNSUM2,21.0760408608
VEGLBLN2,0.9625293386
GPPAll3,339.52357135
NPPAll3,169.761785675
VEGCL3,27.162628
VEGCW3,919.683283175
VEGCR3,85.2161320058
VEGCSUM3,1032.0620431808
VEGNL3,0.7459264438
VEGNW3,11.8326868983
VEGNR3,1.6874481585
VEGNSUM3,14.2660615006
VEGLBLN3,2.0818043954
GPPAll4,580.9556504013
NPPAll4,290.4778252007
VEGCL4,259.093975
VEGCW4,0
VEGCR4,452.0501126284
VEGCSUM4,711.1440876284
VEGNL4,10.2431682291
VEGNW4,0
VEGNR4,8.6104783358
VEGNSUM4,18.8536465649
VEGLBLN4,3.8505320838
GPPAll5,64.3039446129
NPPAll5,32.1519723064
VEGCL5,6.83335
VEGCW5,0
VEGCR5,44.0136551284
VEGCSUM5,50.8470051284
VEGNL5,0.4914042814
VEGNW5,0
VEGNR5,0.8546340802
VEGNSUM5,1.3460383616
VEGLBLN5,0.4255687037
GPPAll6,580.9556504013
NPPAll6,290.4778252007
VEGCL6,259.093975
VEGCW6,0
VEGCR6,452.0501126284
VEGCSUM6,711.1440876284
VEGNL6,10.2431682291
VEGNW6,0
VEGNR6,8.6104783358
VEGNSUM6,18.8536465649
VEGLBLN6,3.8505320838
GPPAll7,8.4075
NPPAll7,4.20375
VEGCL7,4.443625
VEGCW7,0
VEGCR7,0
VEGCSUM7,4.443625
VEGNL7,0.1219866226
VEGNW7,0
VEGNR7,0
VEGNSUM7,0.1219866226
VEGLBLN7,0.0577007809
GPPAll8,134.78494455
NPPAll8,67.392472275
VEGCL8,67.3924775
VEGCW8,0
VEGCR8,0
VEGCSUM8,67.3924775
VEGNL8,2.4781593347
VEGNW8,0
VEGNR8,0
VEGNSUM8,2.4781593347
VEGLBLN8,1.2390795713
